asym     random   renorm=False mask=None   beta= 1.0 | F nonincr steps=0.521 seeds mono=0.00 | H seeds mono=0.08 | F -266.19->-64260208118680661262336.00 norm=124833114748.40
asym     random   renorm=False mask=None   beta= 2.0 | F nonincr steps=0.522 seeds mono=0.00 | H seeds mono=0.08 | F -133.14->-69562286626006148055040.00 norm=115986585405.39
asym     random   renorm=False mask=None   beta= 4.0 | F nonincr steps=0.522 seeds mono=0.00 | H seeds mono=0.00 | F -66.66->-54585355864569752322048.00 norm=129801365147.08
asym     random   renorm=False mask=None   beta= 8.0 | F nonincr steps=0.519 seeds mono=0.00 | H seeds mono=0.08 | F -33.50->5119603349207122968576.00 norm=166337239706.36
asym     random   renorm=False mask=causal beta= 0.5 | F nonincr steps=0.510 seeds mono=0.00 | H seeds mono=0.25 | F -410.34->12389357064444200731279360.00 norm=3590654489021.28
asym     random   renorm=False mask=causal beta= 1.0 | F nonincr steps=0.513 seeds mono=0.00 | H seeds mono=0.17 | F -205.19->-806139385968323503063040.00 norm=3383505083795.64
asym     random   renorm=False mask=causal beta= 2.0 | F nonincr steps=0.515 seeds mono=0.00 | H seeds mono=0.17 | F -102.63->-17669354367881118279008256.00 norm=3024079916984.71
asym     random   renorm=False mask=causal beta= 4.0 | F nonincr steps=0.519 seeds mono=0.00 | H seeds mono=0.17 | F -51.39->-27354683465285831271383040.00 norm=2726716697940.82
asym     random   renorm=False mask=causal beta= 8.0 | F nonincr steps=0.530 seeds mono=0.08 | H seeds mono=0.08 | F -25.86->-31279362349090342667550720.00 norm=2548167747690.34
asym     aligned  renorm=True  mask=None   beta= 0.5 | F nonincr steps=0.976 seeds mono=0.83 | H seeds mono=0.00 | F -532.35->-539.86 norm=1.00
asym     aligned  renorm=True  mask=None   beta= 1.0 | F nonincr steps=0.976 seeds mono=0.83 | H seeds mono=0.00 | F -266.19->-273.72 norm=1.00
asym     aligned  renorm=True  mask=None   beta= 2.0 | F nonincr steps=0.975 seeds mono=0.75 | H seeds mono=0.00 | F -133.14->-140.67 norm=1.00
asym     aligned  renorm=True  mask=None   beta= 4.0 | F nonincr steps=0.974 seeds mono=0.75 | H seeds mono=0.00 | F -66.66->-74.20 norm=1.00
asym     aligned  renorm=True  mask=None   beta= 8.0 | F nonincr steps=0.974 seeds mono=0.75 | H seeds mono=0.00 | F -33.50->-40.99 norm=1.00
